S.No,Company Name,Product Name,Brand Name,Description of the Product,Product Type,Sub-Type,Applied Seasons,Suitable Crops,Benefits,Dosage (Unit/acre),Application Method,Pack Sizes,Price Range,Available In (States),Organic/Certified,Product Image Link,Source URL,Notes
23,Nuziveedu Seeds Ltd.,Badshah NWS-2194 Wheat Variety,NWS-2194 Badshah,"High-yielding wheat variety, first private sector-developed in India",Seed,Wheat Variety,Rabi,Wheat,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
24,Nuziveedu Seeds Ltd.,Champion NMH-145 Hybrid Mustard,Champion NMH-145,Not Available,Seed,Mustard Hybrid,Rabi,Mustard,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
25,Nuziveedu Seeds Ltd.,Zordar NMH-90M01 Hybrid Mustard,Zordar NMH-90M01,Not Available,Seed,Mustard Hybrid,Rabi,Mustard,Tolerant to diseases; High yield potential,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/field-crop/,--
26,Nuziveedu Seeds Ltd.,Asha Hybrid Cotton,Asha,Not Available,Seed,Cotton Hybrid,Kharif,Cotton,Sturdy stem; Adequate foliage; Early maturity; Big bolls; Easy picking,Not Available,Sowing,Not Available,Not Available,"Andhra Pradesh, Karnataka, Maharashtra, Rajasthan (South), Tamil Nadu, Telangana",No,Image Link,https://nuziveeduseeds.com/products/fiber-crop/,--
27,Nuziveedu Seeds Ltd.,Navaneeth Hybrid Cotton,Navaneeth,Not Available,Seed,Cotton Hybrid,Kharif,Cotton,Early maturity; Easy picking,Not Available,Sowing,Not Available,Not Available,"Andhra Pradesh, Karnataka, Maharashtra, Tamil Nadu, Telangana",No,Image Link,https://nuziveeduseeds.com/products/fiber-crop/,--
28,Nuziveedu Seeds Ltd.,Aadhya Hybrid Cotton,Aadhya,Not Available,Seed,Cotton Hybrid,Kharif,Cotton,"Compact plant type; Small, hairy leaves; Early maturity",Not Available,Sowing,Not Available,Not Available,"Andhra Pradesh, Karnataka, Maharashtra, Telangana",No,Image Link,https://nuziveeduseeds.com/products/fiber-crop/,--
29,Nuziveedu Seeds Ltd.,Siri Hybrid Cotton,Siri,Not Available,Seed,Cotton Hybrid,Kharif,Cotton,Excellent sucking pest tolerance; Early maturity; High ginning out-turn; Compact plant type,Not Available,Sowing,Not Available,Not Available,"Andhra Pradesh, Gujarat, Karnataka, Maharashtra, Telangana",No,Image Link,https://nuziveeduseeds.com/products/fiber-crop/,--
30,Nuziveedu Seeds Ltd.,Asha 1 Hybrid Cotton,Asha 1,Not Available,Seed,Cotton Hybrid,Kharif,Cotton,Sturdy stem; Adequate foliage; Early maturity; Big bolls; Easy picking,Not Available,Sowing,Not Available,Not Available,"Gujarat, Madhya Pradesh",No,Image Link,https://nuziveeduseeds.com/products/fiber-crop/,--
31,Nuziveedu Seeds Ltd.,Priya Hybrid Cotton,Priya,Not Available,Seed,Cotton Hybrid,Kharif,Cotton,Big bolls; Easy picking; Sucking pest tolerance; Early maturity,Not Available,Sowing,Not Available,Not Available,"Andhra Pradesh, Gujarat, Karnataka, Madhya Pradesh, Maharashtra, Telangana",No,Image Link,https://nuziveeduseeds.com/products/fiber-crop/,--
32,Nuziveedu Seeds Ltd.,NCS-858 Hybrid Cotton,NCS-858,Not Available,Seed,Cotton Hybrid,Kharif,Cotton,Very early maturity; Excellent sucking pest tolerance; Compact plant type; Very high ginning out-turn,Not Available,Sowing,Not Available,Not Available,"Andhra Pradesh, Gujarat, Karnataka, Madhya Pradesh, Maharashtra, Rajasthan (South), Telangana",No,Image Link,https://nuziveeduseeds.com/products/fiber-crop/,--
33,Nuziveedu Seeds Ltd.,Talent Hybrid Cotton,Talent,Not Available,Seed,Cotton Hybrid,Kharif,Cotton,"Tall, open plant with adequate foliage; Excellent sucking pest tolerance; Early maturity; Easy picking",Not Available,Sowing,Not Available,Not Available,"Punjab, Haryana, Rajasthan",No,Image Link,https://nuziveeduseeds.com/products/fiber-crop/,--
34,Nuziveedu Seeds Ltd.,Sim-Sim Hybrid Cotton,Sim-Sim,Not Available,Seed,Cotton Hybrid,Kharif,Cotton,Tall plant with excellent boll bearing; Easy picking; Excellent sucking pest tolerance,Not Available,Sowing,Not Available,Not Available,"Punjab, Haryana, Rajasthan",No,Image Link,https://nuziveeduseeds.com/products/fiber-crop/,--
35,Nuziveedu Seeds Ltd.,Moti Hybrid Cotton,Moti,Not Available,Seed,Cotton Hybrid,Kharif,Cotton,"Tall, open plant; Sucking pest tolerance; Big bolls; Easy picking",Not Available,Sowing,Not Available,Not Available,"Punjab, Haryana, Rajasthan",No,Image Link,https://nuziveeduseeds.com/products/fiber-crop/,--
36,Nuziveedu Seeds Ltd.,Vinay Hybrid Cotton,Vinay,Not Available,Seed,Cotton Hybrid,Kharif,Cotton,"Tall, open plant; Excellent sucking pest tolerance; Easy picking",Not Available,Sowing,Not Available,Not Available,"Punjab, Haryana, Rajasthan",No,Image Link,https://nuziveeduseeds.com/products/fiber-crop/,--
37,Nuziveedu Seeds Ltd.,Raja NJ-7005 Jute (Tossa) Variety,Raja NJ-7005,Not Available,Seed,Jute Variety,Kharif,Jute,110-120 days crop; Grows up to 14 feet; Fewer spines on stems; Requires less fertilizer; High fiber yield,Not Available,Sowing,Not Available,Not Available,"Assam, Bihar, Odisha, Uttar Pradesh (East), West Bengal",No,Image Link,https://nuziveeduseeds.com/products/fiber-crop/,--
38,Nuziveedu Seeds Ltd.,Guntur Wonder NCH-6319 Hybrid Chilli,NCH-6319 Guntur Wonder,Not Available,Seed,Chilli Hybrid,"Kharif, Rabi",Chilly,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/vegetable/,--
39,Nuziveedu Seeds Ltd.,Varsha NCH-86 Hybrid Chilli,Varsha NCH-86,Not Available,Seed,Chilli Hybrid,"Kharif, Rabi",Chilly,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/vegetable/,--
40,Nuziveedu Seeds Ltd.,Siri NCH-1233 Hybrid Chilli,Siri NCH-1233,Not Available,Seed,Chilli Hybrid,"Kharif, Rabi",Chilly,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/vegetable/,--
41,Nuziveedu Seeds Ltd.,Mithili NTH-1348 Hybrid Tomato,Mithili NTH-1348,Not Available,Seed,Tomato Hybrid,"Kharif, Rabi",Tomato,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/vegetable/,--
42,Nuziveedu Seeds Ltd.,Bhagya Hybrid Tomato,Bhagya,Not Available,Seed,Tomato Hybrid,"Kharif, Rabi",Tomato,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/vegetable/,--
43,Nuziveedu Seeds Ltd.,Bindu Hybrid Okra,Bindu,Not Available,Seed,Okra Hybrid,"Kharif, Summer",Okra,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/vegetable/,--
44,Nuziveedu Seeds Ltd.,Naina-25 Hybrid Okra,Naina-25,Not Available,Seed,Okra Hybrid,"Kharif, Summer",Okra,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/vegetable/,--
45,Nuziveedu Seeds Ltd.,Rajkumari Hybrid Cauliflower,Rajkumari,Not Available,Seed,Cauliflower Hybrid,Rabi,Cauliflower,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/vegetable/,--
46,Nuziveedu Seeds Ltd.,Ashish NHBC-505 Hybrid Cabbage,Ashish NHBC-505,Not Available,Seed,Cabbage Hybrid,Rabi,Cabbage,Not Available,Not Available,Sowing (Transplanting),Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/vegetable/,--
47,Nuziveedu Seeds Ltd.,Kareena Hybrid Cucumber,Kareena,Not Available,Seed,Cucumber Hybrid,"Kharif, Summer",Cucumber,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/vegetable/,--
48,Nuziveedu Seeds Ltd.,NHWM-1276 Hybrid Watermelon,NHWM-1276,Not Available,Seed,Watermelon Hybrid,Summer,Watermelon,Not Available,Not Available,Sowing,Not Available,Not Available,Not Available,No,Not Available,https://nuziveeduseeds.com/products/vegetable/,--
